mutRate,trials,successes,avgGenerations,avgTimeMs
0.001,20,20,10.45,2.7
0.005,20,20,9.8,2.3
0.01,20,20,9.95,2.55
0.02,20,20,9.4,1.35
0.05,20,20,13.0,2.8
